,PMT Flow — User Acceptance Testing (UAT) Dashboard,,,,,,,
,ระบบบริหารจัดการงานช่างและคำสั่งซื้อ (Enterprise Operations) | Production: https://vibepmt.online,,,,,,,
,📌 สรุปความคืบหน้าการทดสอบ (Live Progress Summary),,,,,,,
,ทั้งหมด (Total Test Cases),,ผ่าน (Pass),,ไม่ผ่าน (Fail),,ยังไม่เริ่ม / รอดำเนินการ,
,🌐 ข้อมูลสภาพแวดล้อมและคำแนะนำการทดสอบ (Environment & Instructions),,,,,,,
,หัวข้อ,รายละเอียด / ค่ามาตรฐาน,คำแนะนำเพิ่มเติม,,,,,
,Production URL,https://vibepmt.online,"เปิดบน Google Chrome, Edge หรือ Safari ได้ทุกเบราว์เซอร์",,,,,
,Hard Refresh,Ctrl + F5 (Windows) / Cmd + Shift + R (Mac),จำเป็นต้องทำก่อนทดสอบเพื่อโหลด JavaScript และ CSS ล่าสุด,,,,,
,มาตรฐานวันที่,DD/MM/YYYY (เช่น 07/09/2026),ห้ามแสดงผลเป็น YYYY-MM-DD หรือ MM/DD/YYYY บนหน้าจอเด็ดขาด,,,,,
,มาตรฐานเวลา,ระบบ 24 ชั่วโมง (00:00 - 23:59 น.),ห้ามมีตัวเลือก AM หรือ PM ปรากฏบนหน้าจอเด็ดขาด,,,,,
,การรายงานปัญหา,แท็บ '🐞 รายงานปัญหา (Bug Report)',"กรอก Case ID, อาการ และขั้นตอนให้ชัดเจนเพื่อให้ทีมแก้ไขได้ทันที",,,,,
