PMT Flow — Detailed UAT Test Scenarios & Test Cases,,,,,,,,
ครอบคลุมการทดสอบครบ 11 Scenarios ตั้งแต่เริ่มล็อกอิน จนถึงส่งมอบงานและดูแลหลังการขาย,,,,,,,,
Scenario / Module,Case ID,Role,ขั้นตอนการทดสอบ (Test Steps),ข้อมูลที่ใช้ทดสอบ (Test Data),ผลลัพธ์ที่คาดหวัง (Expected Results),ผลการทดสอบ (Status),ผู้ทดสอบ (Tester),หมายเหตุ / ข้อผิดพลาด (Notes / Defects)
Scenario 01: ยืนยันตัวตน & ความปลอดภัย,TC-AUTH-01,ALL,"1. เปิดเว็บ https://vibepmt.online
2. สังเกตหน้าจอด่านแรก",-,หน้าจอแสดง #login-overlay บล็อกไม่ให้เข้าถึงระบบ Cursor โฟกัสที่ช่อง Username ทันที,Pass,,
Scenario 01: ยืนยันตัวตน & ความปลอดภัย,TC-AUTH-02,ALL,"1. กรอก Username ถูกต้อง
2. กรอก Password ผิด
3. กด 'เข้าสู่ระบบ'","User: admin
Pass: WrongPassword",ระบบแสดงกล่องแจ้งเตือน Error สีแดง ปฏิเสธการเข้าสู่ระบบ,Pass,,
Scenario 01: ยืนยันตัวตน & ความปลอดภัย,TC-AUTH-03,ALL,"1. กรอก Username และ Password ถูกต้อง
2. กดรูปดวงตาดูรหัสผ่าน
3. กดเข้าสู่ระบบ","User: admin
Pass: Admin@1234",รหัสผ่านแสดงตัวอักษรเมื่อกดดวงตา ล็อกอินสำเร็จ เข้าสู่ Dashboard แสดงชื่อและ Role ถูกต้อง,Pass,,
Scenario 01: ยืนยันตัวตน & ความปลอดภัย,TC-AUTH-04,ALL,1. เมื่อล็อกอินอยู่ ให้กด 'ออกจากระบบ' ที่ Topbar หรือ Sidebar มุมซ้ายล่าง,คลิก 'ออกจากระบบ',ล้าง Session ใน Storage และทำ Hard Redirect กลับไปหน้าแรก (/) นำหน้า Login กลับมาทันที,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-01,ADMIN,"1. เข้าเมนู 'จัดการผู้ใช้งาน'
2. ตรวจสอบการ์ดสถิติด้านบน (Admin, AE, QC, CC)
3. คลิกการ์ดสถิติ",-,การ์ดแสดงตัวเลขรวมและแยก Role ถูกต้อง เมื่อคลิกการ์ดจะกรองตารางตาม Role นั้นทันที,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-02,ADMIN,"1. พิมพ์คำค้นหาในช่อง Search (ชื่อ, username หรือ email)",คำค้น: somchai,ตารางกรองรายชื่อผู้ใช้ที่ตรงกับคำค้นหาแบบเรียลไทม์ทันที,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-03,ADMIN,"1. คลิก '+ เพิ่มผู้ใช้งานใหม่'
2. กรอกข้อมูล ชื่อ, Username, Email, Role และ Password
3. กดบันทึก","User: ae.test
Role: AE
Pass: Test@1234",บันทึกสำเร็จ แสดง Toast และมีรายชื่อใหม่ปรากฏในตารางพร้อม Badge สีตรงตาม Role,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-04,ADMIN,"1. คลิกไอคอนกุญแจ (รีเซ็ตรหัสผ่าน) ในแถวผู้ใช้ใหม่
2. กรอกรหัสใหม่และยืนยันรหัส
3. บันทึก",รหัสใหม่: NewPass@999,รีเซ็ตรหัสผ่านสำเร็จ และผู้ใช้สามารถใช้รหัสผ่านใหม่ล็อกอินได้,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-05,ADMIN,"1. คลิกปุ่มระงับการใช้งาน (Toggle Active / Soft Delete)
2. ลองใช้บัญชีนั้นล็อกอิน",บัญชี: ae.test,สถานะเปลี่ยนเป็น Inactive สีเทา และเมื่อลองล็อกอินระบบจะปฏิเสธว่าบัญชีถูกระงับ,Pass,,
Scenario 02: จัดการผู้ใช้งาน (User Mgmt),TC-USER-06,ADMIN,1. ตรวจสอบส่วน 'ประวัติการเข้าสู่ระบบ (Login Audit Logs)',ประวัติ 100 รายการล่าสุด,"แสดงวันเวลาในรูปแบบ DD/MM/YYYY HH:mm:ss, Username, IP, Browser และผลสำเร็จ/ล้มเหลว",Pass,,
Scenario 03: Step 1 คิวรับคำสั่งซื้อ,TC-ORD-01,AE / ADMIN,"1. เข้าเมนู 'Step 1: บันทึกงาน / รับ Order'
2. ตรวจสอบคอลัมน์วันที่ในตาราง",รายการคำสั่งซื้อ,วันที่ทุกแถวต้องแสดงผลในรูปแบบ DD/MM/YYYY เท่านั้น (ห้ามพบ YYYY-MM-DD),Pass,,
