PMT Flow — Defect & Bug Tracking Sheet,,,,,,,,
สำหรับให้ผู้ทดสอบหรือ User บันทึกข้อผิดพลาดที่พบระหว่างการทดสอบเพื่อส่งให้ทีมพัฒนาแก้ไข,,,,,,,,
Bug ID,Case ID อ้างอิง,หน้าจอ / เมนูที่พบปัญหา,ระดับความรุนแรง (Severity),ขั้นตอนที่ทำให้เกิดปัญหา (Steps to Reproduce),ผลลัพธ์ที่เกิดขึ้นจริง (Actual Result),ผลลัพธ์ที่ควรจะเป็น (Expected Result),สถานะ (Status),ผู้รายงาน (Reported By)
BUG-001,TC-DLOG-02,แผนงาน Gantt / บันทึกช่าง,Medium,"1. เลือกเวลาเริ่ม 08:30 น.
2. สังเกตตัวเลือกลิสต์",ระบบแสดงผลถูกต้องตามมาตรฐาน 24 ชม.,แสดงผล 24 ชม. ไม่ปรากฏ AM/PM,Closed,Tester สมศักดิ์
BUG-002,TC-STD-01,Step 1: คิวรับคำสั่งซื้อ,Low,"1. เปิดตาราง Order
2. ดูคอลัมน์วันนัดหมาย",แสดง 07/09/2026 ถูกต้อง,แสดงรูปแบบ DD/MM/YYYY,Closed,Tester มาลี
BUG-003,,,,,,,Open,
BUG-004,,,,,,,Open,
BUG-005,,,,,,,Open,
BUG-006,,,,,,,Open,
BUG-007,,,,,,,Open,
BUG-008,,,,,,,Open,
BUG-009,,,,,,,Open,
BUG-010,,,,,,,Open,
BUG-011,,,,,,,Open,
BUG-012,,,,,,,Open,
BUG-013,,,,,,,Open,
BUG-014,,,,,,,Open,
BUG-015,,,,,,,Open,
BUG-016,,,,,,,Open,
BUG-017,,,,,,,Open,
BUG-018,,,,,,,Open,
BUG-019,,,,,,,Open,
