ลำดับ (No.),หมวดหมู่งาน (Category),Method,Endpoint Path,ระบบผู้เรียก (Caller),ระบบผู้รับ (Receiver),เหตุการณ์ที่เรียกใช้ (Trigger Event),เรียกเพื่ออะไร / วัตถุประสงค์ (Purpose),รายละเอียดและเงื่อนไขสำคัญ (Key Payload & Business Rules)
1,Inbound Integration,POST,/api/v1/integration/orders,ระบบ INT (External Inbound System),SPMT API Gateway,เมื่อมีคำสั่งซื้อหรือเปิด Order งานบริการ/ติดตั้งใหม่จากระบบภายนอก INT,สร้างใบงาน/คิวงานใหม่เข้าสู่ระบบ SPMT แบบอัตโนมัติ (Server-to-Server),"จำเป็นต้องแนบ Header X-Idempotency-Key ป้องกันส่งซ้ำ, ส่ง customer (name, phone, address) และ services"
2,Core Job Management,GET,/api/v1/jobs,SPMT Web Frontend (AE / QC / Admin / CC),SPMT Core Backend,"เมื่อผู้ใช้เปิดหน้าแดชบอร์ด, รายการคิวงาน, หรือค้นหา/กรองสถานะงาน",ดึงรายการงานและโปรเจกต์ทั้งหมดตาม Filter สถานะเพื่อแสดงผลบนหน้าจอ UI,"รองรับ Query params: status (all, DRAFT, IN_PROGRESS, QC_PENDING, QC_PASSED, AFTER_SALE, CLOSED) และ search"
3,Core Job Management,POST,/api/v1/jobs,SPMT Web Frontend (AE / Admin),SPMT Core Backend,เมื่อเจ้าหน้าที่หรือ AE คีย์สร้างใบงานรับเรื่องหน้าสาขาโดยตรง (Manual Intake),บันทึกโครงการ/ใบงานใหม่เข้าสู่ฐานข้อมูล Core Database ของ SPMT โดยตรง,"ส่งข้อมูล firstName, lastName, phone, service, address, tech ทีมช่างผู้รับผิดชอบ"
4,Inbound Staging,POST,/api/v1/jobs/survey-report,ระบบ INT (Site Survey System),SPMT Staging Landing Zone,เมื่อทีมสำรวจเข้าหน้างานเสร็จ และส่งรายงานผลสำรวจพื้นที่ (Site Survey Report),รับ Raw JSON ขนาดใหญ่เข้า Staging แบบ Fast-Ack (<150ms) ก่อนส่งเข้า Validation Engine,"บังคับแนบรูปถ่ายหน้างาน >= 5 รูป, พิกัด Check-in/Check-out, ข้อมูลลูกค้า และ system.job_id ป้องกันส่งซ้ำ"
5,Staging Management,GET,/api/v1/staging/survey-reports,SPMT Web Frontend (Admin / AE),SPMT Core Backend,เมื่อเปิดหน้าติดตามสถานะการนำเข้าข้อมูล Staging Survey Reports,ตรวจสอบประวัติ รายละเอียด และสถานะงานสำรวจที่ส่งมาจากระบบ INT,"ดูสถานะ (PENDING, CONVERTED, VALIDATION_FAILED, ERROR) พร้อม Raw Payload และข้อความ Error"
6,Staging Management,POST,/api/v1/staging/survey-reports/{id}/convert,SPMT Web Frontend (Admin / Data Ops),SPMT Core Backend,เมื่อมีรายการค้างใน Staging หรือเกิด Error ต้องการกด Retry แปลงข้อมูลด้วยตนเอง,สั่ง Validate ซ้ำและแปลงข้อมูลดิบจาก Staging เข้าสู่ตารางงาน Core PMT,"ตรวจสอบความสมบูรณ์ หากผ่านจะสร้าง Customer, Job, Services และเปลี่ยนสถานะ Staging เป็น CONVERTED"
7,Mobile Field Check-in,POST,/api/v1/jobs/{id}/checkin,Mobile App ช่าง / Web Check-in,SPMT Core Backend,เมื่อช่างเทคนิคเดินทางไปถึงหน้างานจริงของลูกค้า,บันทึกเวลา Check-in และตรวจสอบความถูกต้องว่าช่างอยู่หน้างานจริง,ตรวจสอบระยะพิกัด GPS (Geofencing รัศมีไม่เกิน 400 ม.) และบังคับแนบรูปถ่ายหน้างานจริงอย่างน้อย 5 รูป
8,Quality Inspection,POST,/api/v1/jobs/{id}/qc-inspection,SPMT Web / Mobile (QC Inspector),SPMT Core Backend,เมื่อเจ้าหน้าที่ QC ดำเนินการตรวจสอบคุณภาพงานติดตั้งตาม Checklist หน้างาน,บันทึกผลการตรวจ QC รายข้อ และสรุปผลรวมว่าผ่าน หรือต้องแก้ไข (Rework),หากข้อบังคับ (is_mandatory = true) มีผลไม่ผ่านแม้แต่ข้อเดียว ผลรวมจะเป็น FAIL และสั่งแก้งาน (Rework) ทันที
9,Outbound Integration,POST,/api/v1/jobs/{id}/close-and-export-bmt,SPMT System (Auto / QC Trigger),ระบบ BMT (Billing & Material Tool),เมื่องานติดตั้งผ่าน QC และได้คะแนนประเมิน CSAT ครบถ้วน พร้อมปิดโปรเจกต์,ปิดงานใน SPMT และยิง REST API ส่งเฉพาะรายการงานที่ QC ผ่านไปตั้งเบิก/ตัดบัญชีใน BMT,"ส่ง job_no, ข้อมูลลูกค้า, csat_result และรายการ qc_passed_tasks เท่านั้น เพื่อความถูกต้องในการเบิกจ่าย"
10,Authentication & Security,POST,/api/v1/auth/login,SPMT Web / Mobile Login Screen,SPMT Auth Service,"เมื่อผู้ใช้งาน (Admin, AE, QC, CC) กรอก Username และ Password เพื่อเข้าสู่ระบบ",ตรวจสอบความถูกต้องและออก Authentication Token สำหรับใช้เรียก API ทุกตัว,"ป้องกัน Brute Force, บันทึก Login Audit Log, ส่งกลับ Role สิทธิ์การใช้งาน และ User Profile"
